#1.2																																																																																																																																																																																					
661	180																																																																																																																																																																																				
symbol	symbol	MLC94_46_LYM009	MLC96_45_LYM186	MLC91_27_LYM427	MLC91_28_LYM428	MLC94_50_LYM004	MLC95_62_LYM114	MLC95_85_LYM137	MLC94_67_LYM027	MLC94_100_LYM057	MLC96_31_LYM173	MLC91_14_LYM432	MLC96_22_LYM164	MLC96_92_LYM233	MLC95_57_LYM109	MLC92_53_LYM248	MLC95_84_LYM136	MLC95_26_LYM079	MLC96_35_LYM177	MLC96_82_LYM223	MLC95_18_LYM072	MLC94_59_LYM019	MLC95_90_LYM142	MLC95_51_LYM103	MLC95_67_LYM119	MLC96_39_LYM181	MLC92_71_LYM266	MLC94_64_LYM024	MLC94_43_LYM006	MLC96_21_LYM163	MLC94_44_LYM007	MLC95_48_LYM100	MLC95_53_LYM105	MLC96_70_LYM211	MLC94_27_LYM002	MLC94_54_LYM014	MLC95_78_LYM130	MLC91_34_LYM399	MLC91_54_LYM325	MLC95_35_LYM088	MLC96_56_LYM197	MLC95_75_LYM127	MLC94_75_LYM035	MLC96_63_LYM204	MLC92_67_LYM262	MLC92_34_LYM294	MLC99_51_LYM241	MLC95_63_LYM115	MLC91_76_LYM324	MLC91_39_LYM407	MLC91_21_LYM421	MLC95_80_LYM132	MLC91_56_LYM394	MLC95_95_LYM146	MLC94_51_LYM011	MLC91_53_LYM323	MLC91_74_LYM320	MLC95_58_LYM110	MLC95_52_LYM104	MLC95_39_LYM092	MLC96_88_LYM229	MLC96_58_LYM199	MLC91_75_LYM321	MLC92_57_LYM252	MLC95_94_LYM145	MLC92_72_LYM267	MLC92_26_LYM286	MLC96_42_LYM183	MLC95_05_LYM059	MLC95_47_LYM099	MLC94_96_LYM054	MLC94_83_LYM041	MLC91_83_LYM308	MLC91_82_LYM307	MLC94_55_LYM015	MLC95_56_LYM108	MLC96_78_LYM219	MLC91_81_LYM306	MLC96_53_LYM194	MLC92_25_LYM285	MLC96_43_LYM184	MLC92_45_LYM238	MLC94_66_LYM026	MLC91_88_LYM299	MLC96_54_LYM195	MLC96_06_LYM154	MLC92_100_LYM284	MLC96_83_LYM224	MLC95_42_LYM094	MLC94_78_LYM038	MLC91_62_LYM309	MLC91_86_LYM301	MLC91_87_LYM300	MLC95_69_LYM121	MLC96_87_LYM228	MLC91_22_LYM422	MLC92_42_LYM277	MLC94_26_LYM001	MLC95_12_LYM066	MLC91_99_LYM297	MLC91_84_LYM303	MLC95_49_LYM101	MLC96_17_LYM159	MLC94_90_LYM048	MLC95_89_LYM141	MLC91_20_LYM419	MLC96_100_LYM245	MLC95_50_LYM102	MLC91_73_LYM317	MLC91_10_LYM439	MLC94_93_LYM051	MLC96_81_LYM222	MLC92_52_LYM247	MLC96_96_LYM237	MLC96_93_LYM234	MLC95_93_LYM125	MLC91_43_LYM411	MLC94_92_LYM050	MLC95_30_LYM083	MLC94_74_LYM034	MLC95_07_LYM061	MLC91_55_LYM391	MLC94_53_LYM013	MLC94_52_LYM012	MLC96_57_LYM198	MLC95_72_LYM124	MLC95_15_LYM069	MLC91_51_LYM318	MLC96_99_LYM244	MLC91_18_LYM415	MLC94_45_LYM008	MLC95_10_LYM064	MLC95_08_LYM062	MLC94_72_LYM032	MLC94_82_LYM040	MLC92_94_LYM272	MLC96_90_LYM231	MLC96_40_LYM182	MLC91_38_LYM404	MLC91_17_LYM413	MLC91_80_LYM305	MLC91_79_LYM304	MLC96_23_LYM165	MLC95_04_LYM058	MLC91_66_LYM313	MLC96_50_LYM191	MLC91_15_LYM431	MLC91_35_LYM400	MLC95_23_LYM076	MLC95_27_LYM080	MLC95_40_LYM093	MLC96_71_LYM212	MLC96_48_LYM189	MLC96_86_LYM227	MLC91_29_LYM429	MLC92_97_LYM281	MLC94_86_LYM044	MLC96_04_LYM152	MLC95_14_LYM068	MLC92_38_LYM275	MLC95_55_LYM107	MLC96_44_LYM185	MLC95_64_LYM116	MLC94_70_LYM030	MLC96_89_LYM230	MLC96_62_LYM203	MLC96_18_LYM160	MLC94_57_LYM017	MLC96_49_LYM190	MLC95_92_LYM144	MLC95_96_LYM147	MLC91_36_LYM401	MLC94_85_LYM043	MLC91_24_LYM424	MLC91_25_LYM425	MLC91_72_LYM316	MLC96_24_LYM166	MLC96_75_LYM216	MLC95_82_LYM134	MLC91_40_LYM408	MLC94_62_LYM022
A2M	A2M	-1.222333333	0.7712667	1.11815	0.96002778	-1.6297	-0.223633333	0.431	-1.14533333	-1.112133	0.83271667	-0.222807143	-0.8825667	0.338418053	0.75705	0.1186	0.024466667	-0.8725	1.86066667	-0.26823333	-0.1774	-1.65983333	0.317616667	-1.08576667	-0.114716667	0.6416278	-0.296466667	-2.44566667	-2.28573333	1.599333333	-2.010966667	1.265367	0.88878	-0.54325	-1.0353	-0.47375	-1.53583	-0.7062867	1.27135	-0.2639667	-0.503775	0.8193	0.805933333	0.06629444	-0.67903	0.021033333	0.271133333	-0.651733333	0.35836903	-0.3134875	1.403333333	-0.5542833	0.304	0.14925	-0.748826667	0.791829667	0.842383333	0.881666667	-0.114883333	1.05976667	0.275033333	0.1433	0.540951905	0.626866667	0.6135	-0.4205	0.4037	0.6636667	-0.24905	1.214889	-0.6055	-0.9643	0.535147233	0.378283333	-0.0288	0.3871857	0.56886667	1.585667	-0.3784833	0.5241	0.10242827	-0.3739667	-0.099066667	2.239	1.063590476	0.2832	0.7278333	-0.081	2.033333333	0.8791	0.7494238	1.594731667	0.913007467	1.049747	1.534666667	0.54071667	-0.7188	-0.683	-0.005023333	1.581366667	1.292466667	1.09514373	0.4889	0.189366667	0.363966667	0.12886667	0.446266667	-0.561466667	1.214155557	1.368033333	-0.1987333	1.4163	0.713433333	0.1222	0.29154074	0.103266667	0.91650933	-0.068066667	0.68410667	0.47503333	0.751433333	1.801822222	-0.668683333	-1.32696667	-0.4621	0.4504	-1.128466667	0.328319033	0.1259667	1.768	-2.21	-1.18316667	0.3122625	0.25856667	0.153133333	-0.0219625	0.759	-0.328266667	0.855833333	1.60651667	1.666270333	1.538441667	-0.340297619	-0.9378	-0.1714028	0.53928333	0.529666667	-1.79153333	-0.000333333	0.575783333	-0.5770667	-2.581	-0.572	0.16645	2.950233	0.006805556	0.08165	-0.6626	-0.731666667	-0.330866667	-0.1556917	0.245041667	1.010766667	0.82218333	-0.460933333	-0.02325	1.1797	-0.435383333	0.902626	-0.534566667	-0.0423	1.410866667	-0.376566667	0.942666667	0.371904167	0.388	0.111133333	0.2053167	0.052216667	2.477667	-2.184
ABR	ABR	-0.27640335	-0.00015	0.021565	-0.28205	-0.1515	0.0765	0.010475	0.06232222	0.3196594	-0.2809	-0.0543	-0.4892	0.1938	0.7649	-0.118366665	0.3385365	-0.3843	-0.246	-0.04765	-0.379677778	-0.04592143	-0.04229375	0.9509	1.18355	0.31515	-0.2209	-0.09570555	-0.0837344	0.3346	0.185558333	-0.10215	0.2192275	0.08725	-0.5349125	-0.002346875	-0.14805	0.0994847	0.55115	0.69755	0.19965	0.6779	0.95905	0.96665	0.5441	-0.7821	-0.1407	0.5039	0.35681111	1.513	0.7153	0.7752	0.38555	0.78185	0.41723125	0.7352	0.36725	0.2807	0.32644285	-0.3681	0.1199925	0.097225	-0.1971	-0.25935	1.153	-0.16935	-0.48755	-0.2625	-0.26275	-0.1011243	-0.07215	0.00095	0.3912125	0.86045	0.1466611	0.8995	0.57995	-0.4441	-0.33085	-0.6465389	0.2244	-0.0439	-0.36918	-0.36705	-0.89685	-0.2748	-0.33185	-0.44095	0.6668	-0.3135	-0.09425	-0.4075125	-0.54305	-0.11435	0.461592857	-0.10985	-0.7462	-0.4485	-0.9109834	-0.2447	-0.34475	-0.6808	-0.2338975	-0.05345	0.5078	0.0017	0.27245	0.40835	0.38272778	0.33775	0.58395	1.3415	-0.41875	0.1444	0.08885	0.5878	-0.6063	-0.1905	0.23864444	-0.66035	-0.59695	0.2726	1.15145	-0.62292778	-0.05871	0.17385	-0.5316	-0.13725	-0.497675	0.13215	-0.507055	-0.51465	0.07725	0.6726	-0.33915	-0.66175	-0.1685	-0.36385	0.65985	-0.372	-0.16485	0.1971	0.1578	-0.63315	-0.33505	0.29585	-0.32475	0.18555	-0.68285	-0.2777	-0.14975	0.205	0.51455	0.22005	0.3911	-0.27575	-0.7828	-0.8405	0.00485	-0.24465	0.2090813	-0.53095	-0.1881	-0.0919	0.12017857	-0.66265	-0.1128	0.14815	0.01725	0.0066	-0.00855	0.5272	-0.7564	0.1358	0.042335	0.1044	-0.6895375	-0.15395	0.0587	-0.2634	-0.3846643
ACP1	ACP1	0.00012222	-0.36946	-0.28056	-0.65244	-0.46674	0.09484	-0.10586	0.16826	-0.74866	-0.21322	-0.23954	0.2591	0.23482	0.49068	-0.222082	-0.03088	-0.54038	-0.05544	-0.30642	-0.41146	0.02866	-0.23162	0.861	1.11926	-0.13202	0.12398	-0.16394	-0.33786	0.29154	-0.05082	-0.19148	-0.329189	0.099827	0.34224	0.4389275	-0.139103	0.20262	0.419561	0.41866	0.15934	-0.00894	0.45064	0.48942	0.29414	-0.4415	-0.41356	-0.13262	-0.11622	0.41952	0.41114	-0.4156	-0.24586	0.3391	0.182398	-0.21484	-0.1383	-0.10394	-0.1455	-0.25808	0.07644	-0.41748	0.150673429	-0.31922	0.27384	-0.522	-0.636356	-0.48036	-0.84724	-0.48944	0.54624	-0.25464	0.24014	0.176431	0.80678	-0.09170778	-0.11522	0.2251	-0.03996	-0.48996	-0.46492	-0.35128	-0.13618	-0.55458	-1.21486	-0.41982	-0.50254	-0.3634	-0.52348	-1.517876	-1.55974	-0.76704	-1.2904	-0.4905822	-0.63672	-0.68192	-0.709717	-0.572112	-0.73368	-0.12744	-0.10268	1.00796	-0.68832	0.67378	-0.5001	-0.57618	-0.349532	-0.3833	-0.07006	-0.29346	-0.50116	-0.0824	-0.85386	-0.555574	-0.63658	-0.1506	-0.0647	0.30982	-0.07962	0.04918	-0.34666	-0.60492	0.21866	0.699006	0.39362	0.19512	0.68876	-0.3843	-0.05512	-0.41534	0.63162	-0.03582	-0.0547	0.06882	-0.17936	-0.60192	-0.10824	0.17076	0.26264	0.13496	0.3205	0.16576	0.28936	0.21018	0.93734	0.68618	0.56918	0.3724	1.24604	0.56678	0.62778	0.49932	-0.18814	0.01364	-0.27156	-0.56152	0.36824	1.23	-0.10464	0.163924	0.36204	-0.092	0.3203	0.22656	-0.28742	0.12592	-0.27384	0.73918	0.12918	0.27822	0.25694	0.56526	0.12216	0.19998	0.0658	0.26632	0.13356	0.3081	-0.31724	0.14626	0.03958
ACTB	ACTB	-0.1732	0.4191	-0.2903	0.05865	0.186	-0.09455	-0.213	0.2914	-0.1526	0.1772	-0.1214	0.08675	0.6345	0.6493	-0.3701	0.2282	-0.5545	0.1714	-0.566	-0.166	-1.804	-1.113	-0.00295	-0.4731	-0.6253	-1.053	-0.2171	-1.252	-0.2645	1.345	-0.5324	0.5073	1.394	0.1002	0.4034	0.3134	0.1851	0.1468	-0.6879	0.1085	0.7531	-0.1444	0.7211	0.3954	-0.2449	-0.1334	0.6631	1.116	-0.01725	-0.4631	-0.6363	1.316	1.354	0.8163	0.3098	0.4283	0.6351	0.6903	-0.2451	0.9921	0.1379	0.02325	-0.412	0.5561	0.3066	0.04775	-0.4724	0.4144	-0.07295	0.3532	-0.1596	0.7022	0.8157	0.6178	0.4613	0.4974	0.6522	-0.3656	-0.00545	-0.3943	-0.2307	-0.2278	0.09445	-1.525	-0.6147	-0.7663	-0.3815	-0.8537	-1.597	-0.9558	-2.047	-0.9837	-0.2987	-0.8914	-0.1313	-0.5941	-0.3649	-0.7275	0.03735	-0.3006	-1.619	0.2321	-0.05375	-0.251	-0.197	-0.1118	-0.2169	0.8144	0.2759	-0.2594	0.5412	-0.4498	-0.9162	-1.152	1.019	0.3128	-0.4405	0.03645	-0.01915	-0.6814	0.409	0.7861	0.2748	-0.03345	0.1395	-0.5571	-0.08595	-0.345	-0.00635	0.5127	-1.186	0.00295	0.4597	-0.4893	-1.927	-0.5133	0.212	-0.2992	-0.1964	0.22	0.6209	0.214	0.4011	0.3366	1.268	0.4455	0.9622	-0.2683	-0.3441	0.1457	-0.1624	-0.5722	1.012	0.08315	0.1004	0.5862	0.2788	0.6414	0.3854	0.3045	-0.5042	0.7725	0.7657	-1.11	-0.2506	-0.2964	0.9362	0.4729	0.03445	0.6204	-0.3432	-1.025	0.538	-0.4338	0.08045	-1.056	0.4124	-0.9409	0.2352	-0.8113
ACTN1	ACTN1	0.0447	1.029	0.0802	-0.2328	0.1664	-0.0514	0.3632	-0.5954	-0.495	0.3399	0.8097	-0.367	0.187	1.328	0.1664	-0.1057	-0.8664	0.3636	-0.4461	-0.468	-1.028	-1.157	-0.8706	-0.7049	0.4544	-0.6107	-0.1258	-1.354	0.5815	-0.4817	-0.3226	1.68	-0.9468	0.5772	0.3435	0.3603	-0.6217	-0.4828	-1.511	-0.4656	-0.3699	0.0327	-0.4739	-0.9169	-0.3068	0.5803	-0.0048	0.3918	-1.587	-1.837	-0.4551	-0.573	0.3868	-0.4966	1.819	0.0249	1.544	0.8169	0.5059	0.4385	-0.9609	1.009	0.1831	0.3592	0.0734	1.443	0.618	0.7022	0.3701	0.1071	0.0463	0.9716	1.639	-0.7609	0.3078	1.77	0.3886	0.1054	-0.6237	0.2211	-0.6348	0.0172	0.7102	-0.5137	-0.4056	0.1707	-0.411	0.5092	-0.5156	0.0413	0.0412	0.3379	1.022	1.083	0.6201	-0.4485	-0.0281	-0.7886	0.1455	0.5424	-0.7204	0.844	0.0631	0.1845	0.7096	0.2468	0.35	0.7247	1.358	0.1265	1.755	0.3236	0.9709	0.4865	0.6192	0.1445	-1.075	-0.041	-0.1812	0.6754	0.0335	1.19	-1.161	-1.084	-0.0346	-0.4384	-0.0451	-0.2453	0.1404	-0.781	-1.433	-0.05	-0.0918	-0.7943	-1.483	0.0747	-0.4581	-0.4429	0.1626	-0.166	0.3089	-0.3294	-0.6039	-1.587	-0.1799	-0.3373	-0.0466	-0.9327	-0.737	-0.6317	-1.606	0.1237	0.4729	1.495	0.3233	0.2815	-0.5061	0.7118	-0.5038	0.2704	-0.0736	0.9674	0.9001	0.1336	-0.611	1.28	0.3279	0.8414	-0.5473	0.45	0.5946	-1.379	1.495	-0.65	-0.4367	-1.209	-0.4791	-0.9023	-0.1239	-0.8388
ACTR2	ACTR2	-0.1456	0.4394	-0.027	-0.2067	-0.4011	-0.2112	1.567	0.4643	-0.4983	-0.2818	-0.0361	-0.0076	0.3407	0.7636	-0.3805	0.3998	0.0299	2.218	0.7748	-0.6191	-0.88666	-0.626	0.2856	-0.4936	-0.2451	0.4298	-1.136	-0.3749625	0.0953	2.643	0.1594	0.279	1.095	0.4727	1.14	0.1551	0.1279	0.1816556	-0.1489	-0.1508	0.086	0.0882	1.125	0.398	1.065	-0.2282	-0.2635	0.4209	-0.157055	0.333	0.1992	1.34E-09	0.9826	1.761	-0.02662	0.2962	-0.1117	0.6428	-0.2101	0.70768	1.103	-0.015	-0.0039	0.4267	0.0822	-0.4801	-0.1695	-0.0559	0.0707	0.149125	-0.3479	0.492	0.42443	-0.8424	0.2581	0.2962	0.5181	-0.0966	-0.8467	-0.2058	-0.1637	-0.3552	-0.3493	-1.315	-0.5265	-0.8549	0.107	-0.6079	-1.973	-1.285	-1.212	-0.3472	-0.4524	-0.0483	-0.1518	-1.011	-0.0855	-0.9297	-0.1399	-0.1515	-0.9489	-0.7256	-0.3113	-0.4738	0.1215	-0.1454	-0.2758	0.1073	0.1862	0.2949	0.2961	-0.3044	-0.382	-0.1992	0.0806	0.03127	0.418	0.025	-0.0067	-0.79	-0.2472	0.8989	0.846	0.2828	0.3547	-0.2752	-0.1448	-0.0452	0.2925	0.5434	-0.5949	-0.2303	-0.2436	-0.2163	-0.5955	0.0753	0.5767	0.125	-0.1782	-0.0392	0.3379	-0.0544	0.1201	0.8084	0.6452	0.101	0.60831	0.8244	0.15	0.8569	0.4365	-0.1094	-0.1666	-0.3897	-0.4429	0.229	0.8452	-0.1305	-0.0584	0.1947	-0.0998	0.1951	-0.0906	-0.5109	-0.2508	-0.2975	0.4248833	0.2302	0.2473	0.1877	0.1846	-0.2451	-0.1623	0.0184	0.1385	-0.5305	0.1244	-1.003	0.032	-0.254
ADA	ADA	0.9708	-0.5478	0.5521	-1.5955	0.4555	1.303	0.9616	0.55705	-0.57195	-0.9354	0.85495	0.663835	1.071	1.1825	0.78715	0.8181	1.0795	-0.83885	-1.1373	-1.1921	-1.8015	-0.9633	-0.08025	0.5691	0.03715	-1.203	-2.237	-0.24655	-1.1665	-0.9817	1.0402	-1.388375	1.1505	-1.672	0.68598	-0.1138	0.57045	-1.4815	-0.20835	-0.793	0.3882	-0.5674	-0.83335	-2.887	0.7637	-0.23105	0.61745	0.3466	-0.3097	1.1215	-0.8008	0.08850002	0.9111	0.2283	0.369	0.0545	1.09	-0.73315	-1.261	-2.7555	0.42065	-0.900509375	-0.4228	0.15025	-0.61785	-1.368	-0.69275	-0.19305	-1.7935	-0.7916	-0.23865	-0.98535	1.0212	-0.10245	0.7419	-0.0218	-0.5497	-0.13675	-0.4038	0.46175	-2.599	-1.0138	-1.2365	-2.625	-1.2025	-1.29	-1.1363	-1.2773	-1.047	0.0891	-0.1525	-1.4895	-1.3265	-1.089	-0.50805	-2.284	-1.19665	-0.6511	1.0335	0.27795	1.8555	-1.28	-0.791	-0.46585	0.95055	-0.4787	-0.5716	-0.4763	0.66275	-0.38515	-0.98735	-1.14455	-0.5506	-0.79995	-0.67145	-1.1315	1.5945	1.0365	-2.5215	-1.9715	1.413	1.0545	-0.825	0.19855	1.26	0.0284	-0.1595	-0.0041	0.8036	1.0439	-0.9855	0.43985	0.1183	0.3158	0.03284998	0.7412	0.03315	1.4155	1.3505	1.06	0.5681	-0.15065	1.4505	-0.6933	1.9885	-0.6949	0.1086	1.6625	-1.066	0.01535	0.91355	0.24415	0.3252	-1.742	0.1184	-0.19165	0.0884	-0.3147	-0.78035	-0.729	1.5845	1.0545	1.148	1.2965	0.51505	1.119	0.42425	1.1035	1.1925	1.24	0.82355	-0.0868	0.2435	-0.502	-0.1689	0.56215	0.1958	1.032	-0.2731	-0.73705
ADAM19	ADAM19	-0.4484	0.1101	0.8155	0.1119	-0.8627	1.431	0.6917	-1.629	-0.026	0.2577	0.7447	1.282	-0.6423	-0.2678	-0.0335	-0.1671	0.9026	-1.746	-0.7447	-0.0702	-0.48602	-1.556	-0.1401	-1.162	-0.1287	-0.7318	-0.6424	-1.39	-0.2485	-0.9237	-2.091	0.0734	-1.916	0.1281	-0.7181	-0.185	0.1436	-0.1075	-0.0351	0.1948	0.2856	-0.3047	0.2259	0.0417	-1.464	-1.095	-0.0569	1.327	1.607	0.1454	-0.0375	-0.6302	0.1271	-1.014	0.8682	0.7657	-1.05	0.3333	-0.1809	0.6581	-2.125	-1.072	-1.422	-0.3512	0.2212	-0.3913	-0.0188	0.4687	1.501	-0.2688	0.39663	0.3567	-0.6895	0.9712	0.6502	-0.6238	-3.03E-08	0.508	0.5945	-0.7104	-0.301	-0.4205	1.003	-0.4963	-0.0633	-0.3966	-0.4598	-0.4327	-0.1166	0.3451	0.0486	0.0093	0.448	-0.3	0.2849	0.1546	-0.5607	0.511	0.5556	1.229	-1.121	0.7825	0.7895	-0.3945	-0.1715	-1.648	-0.2845	-0.0466	0.8229	-0.8494	-0.3404	-1.409	0.0172	-0.8748	-0.0227	0.4657	0.10965	1.301	0.662	-0.8043	-0.2108	-0.1008	0.1054	-1.717	-1.641	0.6717	0.3499	0.3462	0.6347	-0.629	-0.2711	-1.307	0.5145	0.1161	-1.291	-2.105	0.6035	0.0279	-0.0442	0.549	-0.1264	1.266	-1.286	1.215	1.75	0.3701	1.037	1.644	-0.0641	1.456	-0.6582	-0.5763	0.9108	0.7856	0.8756	0.9791	0.7167	0.775	0.0604	0.1746	0.2574	1.171	0.3029	-0.1738	-1.283	0.7666	0.9182	0.7164	1.052	-0.355	1.51	0.3983	0.2268	0.5196	-0.4448	1.245	-0.22	0.9366	1.115	-1.209
ADAM28	ADAM28	-0.301166667	0.9784	0.2696	-0.88516667	-0.360133333	0.411066667	-0.869266667	-0.62666667	-0.3305333	-0.13986667	0.917366667	0.1942167	0.294466667	1.882333333	0.6641	0.094	0.82093333	-0.64926667	-0.29627143	-0.2349	-0.08996667	-0.143616667	0.10923333	-0.9925	0.1559333	0.539466667	0.27103333	-0.60543333	0.0599	-0.8548	1.795667	0.27516667	-1.174033333	0.3676	-0.2217	0.5035667	-0.5208333	-0.08203333	-0.3568667	1.24153333	0.427333333	0.063683333	-0.63556667	1.883666667	1.537333333	1.414666667	-1.340533333	-0.79642767	1.35342	0.073283333	-0.1634833	-0.6687333	-0.7939	-0.745666667	1.710333333	0.02305	0.563333333	0.516833333	-0.55988097	-0.447636111	-1.52496	-0.015766667	0.143166667	0.051383333	1.454	1.946	0.5745	-0.1957667	0.51779	1.36016667	-0.296666667	-0.615433333	-0.20862963	0.27626667	0.6632	0.1892	-0.8048852	-0.08155	0.530016667	0.20441667	3.429	-0.3593	1.213	0.586033333	0.469466667	0.07	1.0244	-0.265866667	-0.10003333	0.0132	-1.381	-1.594	-0.8421667	0.639111667	0.63353333	-0.275	0.01949	0.25155	1.3686	0.984133333	-0.92878333	1.44833333	-0.904725	0.145483333	-0.1236	-0.318633333	0.8269	-0.301662963	0.924066667	0.2327	-0.077466661	0.089283333	0.41933	0.339366667	-0.308633333	1.16416667	0.614183333	-0.91213333	-0.15555	-0.400416667	-0.434466667	-0.0943	-0.9208	-0.8736	-0.0971	-0.091333333	0.17095	-0.7540667	0.473233333	0.07833333	-0.9192	-0.6324	0.76073333	-0.386333333	-0.08578333	1.006033333	1.4027	0.784033333	0.40076667	1.120533333	-0.428933333	-0.367966667	-0.411433333	-1.238957	1.1487	-0.911833333	-1.07783333	-0.747733333	-1.026333333	-0.10135	-1.035633	0.207983333	-0.35046667	-0.2448	1.420333333	-0.6929	-0.43151667	0.4168	0.392833336	-1.024822	1.036933333	-1.234	0.4775	-0.3272	0.1137	-0.316616667	-0.747366667	1.5015148	1.162566667	0.06821667	0.561633333	-0.604533333	0.3656	-0.5583	-0.8829799	0.622833333	-0.8077667	0.766566667	0.5695333	-0.682866667
ADD3	ADD3	0.2148	1.029	0.3081	-0.4072	0.1747	-0.6393	-0.3138	0.0755	0.5051	0.4148	-0.5368	0.1168	0.806	-0.0695	0.8129	0.9697	-0.3617	0.582	0.3549	-1.234	-0.7153	-0.4994	1.386	0.4503	-0.2332	-0.2258	0.5255	1.475	0.0743	0.3735	-0.3788	0.5123	1.453	0.4072	0.6944	0.9667	-0.2332	0.418	0.707	0.4755	-0.1288	-0.2142	0.9183	0.1519	-0.021	-0.0598	0.5267	0.2651	-0.247	0.1591	-0.8853	0.7766	1.318	1.24	-0.5272	-0.1458	0.9502	0.4373	-0.3092	0.594	0.6236	-0.4812	-0.7436	0.7535	-0.0417	1.09	0.5708	0.0451	-1.176	-0.1136	-1.778	0.2663	0.8739	-0.6972	-0.0001	0.5251	0.899	-0.3005	-1.131	-0.2185	1.494	0.7305	0.2445	-2.484	-0.894	0.4583	-0.7058	-0.9414	-1.626	-1.225	-0.7466	-0.8021	-0.0745	0.1895	-0.9641	-1.152	-0.5125	-0.9972	-0.4736	-0.6712	-1.128	-0.1551889	-0.5506	-0.9391	-0.5292	-1.581	-0.1379	-0.2129	0.181	-0.0105	0.1825	-0.1479	-0.4882	-0.4474	0.0929	0.3758	-0.1061	-0.6929	0.2643	-0.942	-1.167	0.5238	-0.4458	0.2846	0.4517	-1.532	-0.0383	-1.249	-0.3861	0.0264	-0.4316	-0.9022	0.754	-0.8578	-0.9877	-1.127	-0.0729	-0.4489	-0.4274	-0.5613	0.797	0.3368	-0.8998	4.01E-09	-0.4278	-0.7345	0.4598	-0.1477	-0.0541	0.2574	0.7208	-0.1217	-0.0167	-0.4711	-1.74	0.0005	0.5881	0.4536	-0.3042	0.7328	0.0288	-0.2477	-0.7956	-0.7891	-0.3601	-0.6684	0.4313	0.4794	0.1466	0.9061	-0.4743	0.115	-0.0526	-0.3398	0.6324	-0.6785	0.11768	-1.275	-0.8122	0.389
